 added a,menambahkan a
Cannot disable this status as it is linked in the following SLAs:<br><br>,Tidak dapat menonaktifkan status ini karena tertaut dalam SLA berikut:<br><br>
Cannot enable rule without adding users in it,Tidak dapat mengaktifkan aturan tanpa menambahkan pengguna di dalamnya
Cannot merge General category,Tidak dapat menggabungkan kategori Umum
Category,Kategori
Category created successfully.,Kategori berhasil dibuat.
Category deleted successfully.,Kategori berhasil dihapus.
Category merged successfully.,Kategori berhasil digabungkan.
Category must have atleast one article,Kategori harus memiliki setidaknya satu artikel
Category updated successfully.,Kategori berhasil diperbarui.
Change,Perubahan
Change Password,Ubah Kata Sandi
Change image,Ubah gambar
Change language of the application.,Ubah bahasa aplikasi.
Change photo,Ganti foto
Change priority,Ubah prioritas
Change status,Ubah status
Change team,Ganti tim
Change ticket type,Ubah jenis tiket
Change timezone of the application.,Ubah zona waktu aplikasi.
Change your account password for security.,Ubah kata sandi akun Anda untuk keamanan.
Change your search terms or filters,Ubah istilah atau filter pencarian Anda
Change your search terms to find teams.,Ubah istilah pencarian Anda untuk menemukan tim.
Channels,Saluran
Child field,Bidang anak
Choose how long this SLA policy will be active.,Pilih berapa lama kebijakan SLA ini akan aktif.
Choose how tickets are distributed among selected assignees.,Pilih bagaimana tiket didistribusikan di antara penerima tugas yang dipilih.
Choose the days of the week when this rule should be active.,Pilih hari dalam seminggu kapan aturan ini harus aktif.
Choose the duration of this holiday list.,Pilih durasi daftar liburan ini.
Choose the email service provider you want to configure.,Pilih penyedia layanan email yang ingin Anda konfigurasikan.
Choose which tickets are affected by this assignment rule.,Pilih tiket mana yang terpengaruh oleh aturan penugasan ini.
Choose which tickets are affected by this policy.,Pilih tiket mana yang terpengaruh oleh kebijakan ini.
Choose which tickets are affected by this un-assignment rule.,Pilih tiket mana yang terpengaruh oleh aturan pembatalan penugasan ini.
Choose who can view and use this response.,Pilih siapa yang dapat melihat dan menggunakan respons ini.
Choose who receives the tickets.,Pilih siapa yang menerima tiket.
Clear Table,Hapus Tabel
Clear all filters,Hapus semua filter
Click on Add to Holidays. This will populate the holidays table with all the dates that fall on the selected weekly off. Repeat the process for populating the dates for all your weekly holidays,Klik Tambahkan ke Hari Libur. Ini akan mengisi tabel hari libur dengan semua tanggal yang jatuh pada libur mingguan yang dipilih. Ulangi proses untuk mengisi tanggal untuk semua hari libur mingguan Anda
Close,Tutup
Close Ticket,Tutup Tiket
Closed,Tertutup
Closed or rated tickets cannot be updated by non-agents,Tiket yang ditutup atau diberi peringkat tidak dapat diperbarui oleh non-agen
Collapse,Jatuh
Color,Warna
Columns,Kolom
Comma separated emails to invite.,Email yang dipisahkan koma untuk diundang.
Comment,Komentar
Comment cannot be empty.,Komentar tidak boleh kosong.
Comment deleted sucessfully.,Komentar berhasil dihapus.
Comment not found,Komentar tidak ditemukan
Comment updated successfully.,Komentar berhasil diperbarui.
Commented By,Dikomentari oleh
Comments,Komentar
Communication,Komunikasi
Communication ID is required,ID Komunikasi diperlukan
Completed,Selesai
Condition,Kondisi
Configure your Exotel settings for Helpdesk.,Konfigurasikan pengaturan Exotel Anda untuk Helpdesk.
Configure your Exotel telephony integration settings here,Konfigurasikan pengaturan integrasi telepon Exotel Anda di sini
Configure your Twilio settings for Helpdesk.,Konfigurasikan pengaturan Twilio Anda untuk Helpdesk.
Configure your Twilio telephony integration settings here,Konfigurasikan pengaturan integrasi telepon Twilio Anda di sini
Configure your telephony settings.,Konfigurasikan pengaturan telepon Anda.
Confirm,Menegaskan
Confirm Changes,Konfirmasikan Perubahan
Confirm Password,Konfirmasi Kata Sandi
Confirm overwrite,Konfirmasi penimpaan
Connect your support email,Hubungkan email dukungan Anda
Contact,Kontak
Contact HTML,Hubungi HTML
Contact created successfully.,Kontak berhasil dibuat.
Contact invited successfully.,Kontak berhasil diundang.
Contact updated successfully.,Kontak berhasil diperbarui.
Contact with email already exists,Kontak dengan email sudah ada
Contacts,Kontak
Content,Isi
Content Type,Tipe Konten
Copy ticket URL,Salin URL tiket
Copy ticket id,Salin id tiket
Create,Buat
Create & invite a contact,Buat & undang kontak
Create New Contact,Buat Kontak Baru
Create View,Buat Tampilan
Create a ticket,Buat tiket
Create an article,Buat artikel
Create and manage teams and assign agents to specific teams.,Membuat dan mengelola tim dan menugaskan agen ke tim tertentu.
Create field dependencies to dynamically update options based on user selections. Learn more about field dependencies,Buat dependensi bidang untuk memperbarui opsi secara dinamis berdasarkan pilihan pengguna. Pelajari selengkapnya tentang dependensi bidang
Create new business holiday,Buat liburan bisnis baru
Created by,Dibuat oleh
Criterion,Kriteria
Custom Outside Working Hours Message,Pesan Khusus Di Luar Jam Kerja
Custom Range,Rentang Kustom
Customer,Pelanggan
Customer Name,Nama Pelanggan
Customer created successfully.,Pelanggan berhasil dibuat.
Customer portal,Portal pelanggan
Customer updated successfully.,Pelanggan berhasil diperbarui.
Customize your email notification preferences to stay informed about important updates and activities.,Sesuaikan preferensi pemberitahuan email Anda untuk tetap mendapat informasi tentang pembaruan dan aktivitas penting.
Cyan,Sian
Danger,Bahaya
Dashboard,Dasbor
Dashboard saved,Dasbor disimpan
Date,Tanggal
Day count for auto closing tickets cannot be negative or zero,Hitungan hari untuk tiket penutupan otomatis tidak boleh negatif atau nol
Days,hari
Default Inbox,Standar Inbox
Default Priority,Prioritas Bawaan
Default SLA,SLA bawaan
Default Sending,Default Mengirim
Default Sending and Inbox,Default Mengirim dan Inbox
Default Ticket Status,Status Tiket Default
Default Views,Tampilan Bawaan
Default actions,Tindakan bawaan
Default calling medium for logged in user,Media panggilan default untuk pengguna yang sedang masuk
Default medium,Media default
Default priority,Prioritas bawaan
Default template can not be deleted,Templat bawaan tidak dapat dihapus
Default ticket status,Status tiket default
Default ticket type,Jenis tiket default
Define who receives the tickets and how they’re distributed among agents.,Tentukan siapa yang menerima tiket dan bagaimana tiket tersebut didistribusikan di antara agen.
Delete,Hapus
Delete View,Hapus Tampilan
Delete articles,Hapus artikel
Delete category?,Hapus kategori?
Description,Deskripsi
Description Template,Templat Deskripsi
Description Weight,Deskripsi Berat
Detailed explanation,Penjelasan rinci
Details,Penjelasan
Disable Bypass Restrictions,Nonaktifkan Pembatasan Bypass
Disable global saved replies,Nonaktifkan balasan tersimpan global
Disable saved replies with scope 'Global',Nonaktifkan balasan tersimpan dengan cakupan 'Global'
Disable signup,Nonaktifkan pendaftaran
Disabled,Dinonaktifkan
"Disables all email notifications for the ticket - including creation, updates, and alerts.","Menonaktifkan semua notifikasi email untuk tiket - termasuk pembuatan, pembaruan, dan peringatan."
Discard,Membuang
Discard Article,Buang Artikel
Discard changes?,Hapus perubahan?
Display a customizable banner message when customers raise tickets outside your working hours.,Tampilkan pesan spanduk yang dapat disesuaikan ketika pelanggan menaikkan tiket di luar jam kerja Anda.
Do not apply filters and restrictions to agents of this team,Jangan terapkan filter dan batasan pada agen tim ini
Do not restrict tickets without a Team,Jangan membatasi tiket tanpa Tim
Do not restrict tickets without a team,Jangan membatasi tiket tanpa tim
DocType,Tipe Dokumen
Docs,dokumen
Document Type,Jenis Dokumen
Domain,Domain
Download,Unduh
Draft,Draf
Duplicate,Duplikat
Duplicate Assignment Rule,Aturan Penugasan Duplikat
Duplicate Holiday List,Daftar Liburan Duplikat
Duplicate SLA Policy,Kebijakan SLA Duplikat
Duplicate Saved reply,Duplikat Balasan tersimpan
Duration,Lamanya
Duration is required,Durasi diperlukan
"Easily invite new agents, managers, or admins.","Undang agen, manajer, atau admin baru dengan mudah."
Edit,Sunting
Edit Call Log,Edit Log Panggilan
Edit Domain,Sunting Domain
Edit Email,Edit Email
Edit Title,Sunting Judul
Edit your email account,Edit akun email Anda
Email,Surel
Email Account,Akun Email
Email Accounts,Akun Email
Email Content,Konten Email
Email Id,nomor email
Email Notifications,Pemberitahuan Email
Email account created,Akun email dibuat
Email account name,Nama akun email
Email account updated successfully,Akun email berhasil diperbarui
Email should not be empty,Email wajib diisi
Emails,email
Emails pulled successfully,Email berhasil ditarik
Emoji,emoji
Enable Bypass Restrictions,Aktifkan Batasan Bypass
Enable comment reactions,Aktifkan reaksi komentar
Enable feedback for Customer Portal,Aktifkan umpan balik untuk Portal Pelanggan
Enabled,Diaktifkan
End Date,Tanggal Berakhir
End Time,Waktu Selesai
Enter a name for this HD Service Holiday List.,Masukkan nama untuk Daftar Liburan Layanan HD ini.
Enter a valid email,Masukkan email yang valid
Enter a valid phone number,Masukkan nomor telepon yang valid
Enter brand name,Masukkan nama merek
Enter the new name for the team,Masukkan nama baru untuk tim
Error updating customer,Terjadi kesalahan saat memperbarui pelanggan
Error while connecting to email account {0},Kesalahan saat menyambung ke akun email {0}
Escalation rule already exists for this criteria,Aturan eskalasi sudah ada untuk kriteria ini
Excel,Unggul
Exotel,Exotel
Expand,Memperluas
Explore customer portal,Jelajahi portal pelanggan
Export,Ekspor
Export All {0} Record(s),Ekspor Semua {0} Catatan
Export Type,Jenis ekspor
External link,Tautan eksternal
Failed,Gagal
Failed to create category,Gagal membuat kategori
"Failed to create email account, Invalid credentials","Gagal membuat akun email, kredensial tidak valid"
Failed to delete ticket.,Gagal menghapus tiket.
Failed to load telephony agent,Gagal memuat agen telepon
Failed to pull emails,Gagal menarik email
Failed to save Exotel settings,Gagal menyimpan pengaturan Exotel
Failed to save Twilio settings,Gagal menyimpan pengaturan Twilio
Failed to update Assignee's.,Gagal memperbarui Penerima Tugas.
Failed to update category.,Gagal memperbarui kategori.
"Failed to update email account, Invalid credentials","Gagal memperbarui akun email, kredensial tidak valid"
Favicon,Favicon
Feedback,Masukan
Feedback ,Umpan Balik 
Feedback (Extra),Masukan (Ekstra)
Feedback Already Exists,Umpan Balik Sudah Ada
Feedback Rating,Peringkat Umpan Balik
Feedback Trend,Tren Umpan Balik
Feedback submitted successfully.,Masukan berhasil dikirimkan.
Field (fieldname),Bidang (nama bidang)
Field Dependencies,Ketergantungan Bidang
Field Dependency created successfully,Ketergantungan Bidang berhasil dibuat
Field Dependency updated successfully,Ketergantungan Bidang berhasil diperbarui
Field dependency deleted successfully.,Ketergantungan bidang berhasil dihapus.
Field dependency updated successfully.,Ketergantungan bidang berhasil diperbarui.
Fields,bidang
Filters,Filter
Find out all of the variables that can be used in the content,Cari tahu semua variabel yang dapat digunakan dalam konten
First Name,Nama Depan
First Responded On,Pertama Ditanggapi Pada
First Response Due,Batas Waktu Tanggapan Pertama
First Response Time,Waktu Respon Pertama
First Response Time for Tickets,Waktu Respons Pertama untuk Tiket
First name,Nama depan
First name should not be empty,Nama depan wajib diisi
Form,Membentuk
Friday,Jumat
From,Dari
From Date,Dari Tanggal
From date,Sejak tanggal
From is required,Dari diperlukan
Fulfilled,Terpenuhi
General,Umum
General Settings,Pengaturan Umum
General category can't be deleted,Kategori umum tidak dapat dihapus
General category name can't be changed,Nama kategori umum tidak dapat diubah
General is a reserved category name. Please use a different name to proceed.,Umum adalah nama kategori yang dicadangkan. Harap gunakan nama lain untuk melanjutkan.
Global,Global
Gray,Abu-abu
Great! All your tickets are within SLA,Besar! Semua tiket Anda berada dalam SLA
Green,Hijau
Group By,Dikelompokkan oleh
Group By Field,Grup Berdasarkan Bidang
Guest,Tamu
HD Action,Aksi HD
HD Agent,Agen HD
HD Article,Artikel HD
HD Article Category,Kategori Artikel HD
HD Article Feedback,Umpan Balik Artikel HD
HD Comment Reaction,Reaksi Komentar HD
HD Customer,Pelanggan HD
HD Desk Account Request,Permintaan Akun Meja HD
HD Escalation Rule,Aturan Eskalasi HD
HD Field Layout,Tata Letak Bidang HD
HD Form Script,Skrip Bentuk HD
HD Holiday,Liburan HD
HD Notification,Pemberitahuan HD
HD Organization,Organisasi HD
HD Organization Contact Item,Item Kontak Organisasi HD
HD Portal Signup Request,Permintaan Pendaftaran Portal HD
HD Saved Reply,Balasan Tersimpan HD
HD Saved Reply Team,Tim Balasan Tersimpan HD
HD Service Day,Hari Layanan HD
HD Service Holiday List,Daftar Liburan Layanan HD
HD Service Level Agreement,Perjanjian Tingkat Layanan HD
HD Service Level Priority,Prioritas Tingkat Layanan HD
HD Stopword,Kata Penghenti HD
HD Support Search Source,Sumber Pencarian Dukungan HD
HD Synonym,Sinonim HD
HD Synonyms,Sinonim HD
HD Team Member,Anggota Tim HD
HD Ticket,Tiket HD
HD Ticket Activity,Aktivitas Tiket HD
HD Ticket Comment,Komentar Tiket HD
HD Ticket Feedback Option,Opsi Umpan Balik Tiket HD
HD Ticket Priority,Prioritas Tiket HD
HD Ticket Status,Status Tiket HD
HD Ticket Template,Templat Tiket HD
HD Ticket Template Field,Bidang Templat Tiket HD
HD Ticket Type,Jenis Tiket HD
HD View,Tampilan HD
Headings Weight,Berat Judul
Help,Bantuan
HelpDesk,Meja Bantuan
Helpdesk,Helpdesk
Helpdesk Contact,Kontak Meja Bantuan
Helpdesk Reports,Laporan Meja Bantuan
"Here, your weekly offs are pre-populated based on the previous selections. You can add more rows to also add public and national holidays individually.","Di sini, libur mingguan Anda sudah diisi sebelumnya berdasarkan pilihan sebelumnya. Anda dapat menambahkan lebih banyak baris untuk menambahkan hari libur umum dan nasional satu per satu."
Hey,Hai
Hide condition,Sembunyikan kondisi
Hide view from sidebar,Sembunyikan tampilan dari sidebar
Hold,Ditahan
Holiday List,Daftar Hari Libur
Holiday List Name,Nama Daftar Liburan
Holiday list created successfully.,Daftar hari libur berhasil dibuat.
Holiday list deleted successfully.,Daftar hari libur berhasil dihapus.
Holiday list duplicated successfully.,Daftar hari libur berhasil diduplikasi.
Holiday list updated successfully.,Daftar hari libur berhasil diperbarui.
Holidays,Hari libur
Home,Rumah
"I understand, add conditions","Saya mengerti, tambahkan ketentuan"
ID,PENGENAL
IP Address,Alamat IP
Icon,Ikon
"If enabled, a ticket creation acknowledgement email will be sent to the user right after creating an email ticket","Jika diaktifkan, email konfirmasi pembuatan tiket akan dikirim ke pengguna segera setelah pembuatan tiket email"
"If enabled, an email is sent to all of the recipients associated with an agent's reply","Jika diaktifkan, email akan dikirim ke semua penerima yang terkait dengan balasan agen"
"If enabled, an email will be sent to all of the assigned agents after a reply from one of the contacts","Jika diaktifkan, email akan dikirim ke semua agen yang ditugaskan setelah balasan dari salah satu kontak"
"If enabled, anyone will be able to create tickets (without any permission). ","Jika diaktifkan, siapa pun akan dapat membuat tiket (tanpa izin apa pun)."
"If your issue isn't resolved, raise a support ticket","Jika masalah Anda belum terselesaikan, ajukan tiket dukungan"
Ignore Restrictions,Abaikan Batasan
Image,Gambar
Image removed successfully.,Gambar berhasil dihapus.
"Image to be used in various places, including Login and Signup pages. An image with transparent background and 160 x 32 is preferred","Gambar untuk digunakan di berbagai tempat, termasuk halaman Login dan Daftar. Gambar dengan latar belakang transparan dan ukuran 160 x 32 lebih disukai"
Image updated successfully.,Gambar berhasil diperbarui.
In Progress,Sedang berlangsung
Inactive,Tidak aktif
Inbound Call,Panggilan Masuk
Inbox,Kotak masuk
Incoming,Masuk
Initiated,Diprakarsai
Instantly send e-mail,Kirim email secara instan
Insufficient Permission for {0},Izin tidak cukup untuk {0}
Integer value,Nilai bilangan bulat
Invalid email,Email tidak valid
"Invalid fields, check if all are filled in and values are correct.","Bidang tidak valid, periksa apakah semua sudah terisi dan nilainya benar."
"Invalid file type, only PNG and JPG images are allowed","Jenis file tidak valid, hanya gambar PNG dan JPG yang diperbolehkan"
Invalid notification,Pemberitahuan tidak valid
Invalid phone number,Nomor telepon tidak valid
Invite Agents,Undang Agen
Invite agent,Undang agen
Invite agents,Undang agen
Invite as user,Undang sebagai pengguna
Invite by email,Undang via email
Is Active,Aktif
Is Customer Portal,Apakah Portal Pelanggan
Is Default,Apakah default
Is Standard,Apakah Standar
Is applied to system,Diterapkan pada sistem
Is name setup skipped,Apakah pengaturan nama dilewati
Is pinned,Disematkan
Is setup complete,Apakah pengaturan sudah selesai
Item(s) deleted successfully.,Item berhasil dihapus.
John Doe,John Doe
Jump to,Lompat ke
KB,KB
Key,Kunci
Keyboard Shortcuts,Pintasan keyboard
Knowledge Base,Dasar pengetahuan
Label,Label
Label (customer view),Label (tampilan pelanggan)
Landing Page,Halaman Arahan
Language,Bahasa
Language updated successfully.,Bahasa berhasil diperbarui.
Last,Terakhir
Last 3 Months,3 Bulan Terakhir
Last 3 months,3 bulan terakhir
Last 30 Days,30 Hari Terakhir
Last 60 Days,60 Hari Terakhir
Last 7 Days,7 Hari Terakhir
Last 90 Days,90 Hari Terakhir
Last Agent Response,Respon Agen Terakhir
Last Customer Response,Respon Pelanggan Terakhir
Last Month,Bulan Lalu
Last Name,Nama Belakang
Last Week,Minggu lalu
Last month,Bulan lalu
Last name,Nama belakang
Last user assigned by this rule,Pengguna terakhir yang ditetapkan berdasarkan aturan ini
Last week,Minggu lalu
Layout,Layout
Learn about conditions,Pelajari tentang kondisi
"Let customers know they're raising a ticket outside working hours, and when they can expect a reply.","Beri tahu pelanggan bahwa mereka mengajukan tiket di luar jam kerja, dan kapan mereka mengharapkan balasan."
Link,Link
Link Options,Opsi Tautan
Link to a customer,Tautan ke pelanggan
Link to a customer record,Tautan ke catatan pelanggan
List,Daftar
List View,Tampilan Daftar
Listen,Dengarkan
Load Default Columns,Muat Kolom Default
Load More,Muat lebih banyak
Log a Call,Catat Panggilan
Log out,Keluar
Login to Frappe Cloud,Masuk ke GARP Cloud
Logo,logo
"Lower the Integer value, higher is the priority of the issue","Semakin rendah nilai Integernya, maka semakin tinggi prioritas permasalahannya"
Make Private,Jadikan Privat
Make Public,Jadikan Publik
Make a Call,Lakukan Panggilan
Make feedback mandatory,Jadikan umpan balik itu wajib
Make view private,Jadikan tampilan pribadi
Manage general settings of your app.,Kelola pengaturan umum aplikasi Anda.
Manage pre-defined responses that can be used to respond to customer queries.,Kelola respons yang telah ditentukan sebelumnya yang dapat digunakan untuk menanggapi pertanyaan pelanggan.
Manage your email accounts and configure incoming and outgoing settings.,Kelola akun email Anda dan konfigurasikan pengaturan masuk dan keluar.
Manage your profile information.,Kelola informasi profil Anda.
Mark all as read,Tandai semua sebagai telah dibaca
